390.0,4.14616053E-04
390.1,4.22727711E-04
390.2,4.30990466E-04
390.3,4.39406778E-04
390.4,4.47979138E-04
390.5,4.56710062E-04
390.6,4.65602098E-04
390.7,4.74657820E-04
390.8,4.83879828E-04
390.9,4.93270754E-04
391.0,5.02833255E-04
391.1,5.12570017E-04
391.2,5.22483752E-04
391.3,5.32577200E-04
391.4,5.42853128E-04
391.5,5.53314331E-04
391.6,5.63963627E-04
391.7,5.74803865E-04
391.8,5.85837917E-04
391.9,5.97068680E-04
392.0,6.08499079E-04
392.1,6.20132062E-04
392.2,6.31970603E-04
392.3,6.44017699E-04
392.4,6.56276371E-04
392.5,6.68749664E-04
392.6,6.81440646E-04
392.7,6.94352405E-04
392.8,7.07488053E-04
392.9,7.20850724E-04
393.0,7.34443570E-04
393.1,7.48269765E-04
393.2,7.62332502E-04
393.3,7.76634992E-04
393.4,7.91180466E-04
393.5,8.05972169E-04
393.6,8.21013365E-04
393.7,8.36307332E-04
393.8,8.51857366E-04
393.9,8.67666773E-04
394.0,8.83738875E-04
394.1,9.00077004E-04
394.2,9.16684506E-04
394.3,9.33564733E-04
394.4,9.50721050E-04
394.5,9.68156829E-04
394.6,9.85875448E-04
394.7,1.00388029E-03
394.8,1.02217475E-03
394.9,1.04076221E-03
395.0,1.05964607E-03
395.1,1.07882973E-03
395.2,1.09831658E-03
395.3,1.11811001E-03
395.4,1.13821342E-03
395.5,1.15863018E-03
395.6,1.17936368E-03
395.7,1.20041728E-03
395.8,1.22179435E-03
395.9,1.24349824E-03
396.0,1.26553228E-03
396.1,1.28789980E-03
396.2,1.31060411E-03
396.3,1.33364849E-03
396.4,1.35703620E-03
396.5,1.38077051E-03
396.6,1.40485463E-03
396.7,1.42929175E-03
396.8,1.45408506E-03
396.9,1.47923768E-03
397.0,1.50475273E-03
397.1,1.53063329E-03
397.2,1.55688238E-03
397.3,1.58350301E-03
397.4,1.61049814E-03
397.5,1.63787069E-03
397.6,1.66562352E-03
397.7,1.69375946E-03
397.8,1.72228128E-03
397.9,1.75119171E-03
398.0,1.78049340E-03
398.1,1.81018896E-03
398.2,1.84028094E-03
398.3,1.87077183E-03
398.4,1.90166404E-03
398.5,1.93295992E-03
398.6,1.96466176E-03
398.7,1.99677174E-03
398.8,2.02929201E-03
398.9,2.06222462E-03
399.0,2.09557151E-03
399.1,2.12933459E-03
399.2,2.16351563E-03
399.3,2.19811634E-03
399.4,2.23313832E-03
399.5,2.26858308E-03
399.6,2.30445203E-03
399.7,2.34074648E-03
399.8,2.37746761E-03
399.9,2.41461652E-03
400.0,2.45219418E-03
400.1,2.49020192E-03
400.2,2.52864287E-03
400.3,2.56752069E-03
400.4,2.60683909E-03
400.5,2.64660182E-03
400.6,2.68681270E-03
400.7,2.72747562E-03
400.8,2.76859452E-03
400.9,2.81017339E-03
401.0,2.85221633E-03
401.1,2.89472745E-03
401.2,2.93771097E-03
401.3,2.98117118E-03
401.4,3.02511242E-03
401.5,3.06953912E-03
401.6,3.11445580E-03
401.7,3.15986704E-03
401.8,3.20577751E-03
401.9,3.25219196E-03
402.0,3.29911525E-03
402.1,3.34655229E-03
402.2,3.39450812E-03
402.3,3.44298785E-03
402.4,3.49199669E-03
402.5,3.54153996E-03
402.6,3.59162308E-03
402.7,3.64225155E-03
402.8,3.69343102E-03
402.9,3.74516721E-03
403.0,3.79746597E-03
403.1,3.85033327E-03
403.2,3.90377520E-03
403.3,3.95779795E-03
403.4,4.01240786E-03
403.5,4.06761138E-03
403.6,4.12341510E-03
403.7,4.17982575E-03
403.8,4.23685017E-03
403.9,4.29449537E-03
404.0,4.35276848E-03
404.1,4.41167681E-03
404.2,4.47122779E-03
404.3,4.53142901E-03
404.4,4.59228823E-03
404.5,4.65381337E-03
404.6,4.71601249E-03
404.7,4.77889387E-03
404.8,4.84246590E-03
404.9,4.90673721E-03
405.0,4.97171657E-03
405.1,5.03741161E-03
405.2,5.10382462E-03
405.3,5.17095637E-03
405.4,5.23880736E-03
405.5,5.30737787E-03
405.6,5.37666789E-03
405.7,5.44667720E-03
405.8,5.51740525E-03
405.9,5.58885126E-03
406.0,5.66101414E-03
406.1,5.73389253E-03
406.2,5.80748473E-03
406.3,5.88178879E-03
406.4,5.95680239E-03
406.5,6.03252292E-03
406.6,6.10894744E-03
406.7,6.18607267E-03
406.8,6.26389497E-03
406.9,6.34241038E-03
407.0,6.42161454E-03
407.1,6.50150276E-03
407.2,6.58206996E-03
407.3,6.66331068E-03
407.4,6.74521907E-03
407.5,6.82778889E-03
407.6,6.91101349E-03
407.7,6.99488582E-03
407.8,7.07939841E-03
407.9,7.16454336E-03
408.0,7.25031235E-03
408.1,7.33669662E-03
408.2,7.42368696E-03
408.3,7.51127373E-03
408.4,7.59944681E-03
408.5,7.68819563E-03
408.6,7.77750917E-03
408.7,7.86737591E-03
408.8,7.95778388E-03
408.9,8.04872059E-03
409.0,8.14017310E-03
409.1,8.23212796E-03
409.2,8.32457122E-03
409.3,8.41748845E-03
409.4,8.51086468E-03
409.5,8.60468446E-03
409.6,8.69893182E-03
409.7,8.79359027E-03
409.8,8.88864282E-03
409.9,8.98407193E-03
410.0,9.07985956E-03
410.1,9.17598987E-03
410.2,9.27245757E-03
410.3,9.36926019E-03
410.4,9.46639542E-03
410.5,9.56386112E-03
410.6,9.66165527E-03
410.7,9.75977605E-03
410.8,9.85822179E-03
410.9,9.95699102E-03
411.0,1.00560824E-02
411.1,1.01554948E-02
411.2,1.02552273E-02
411.3,1.03552791E-02
411.4,1.04556496E-02
